[21:10:38] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:39] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:39] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:39] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:39] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:40] J9: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:40] J9: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:40] J9: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:40] J9: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:41] J9: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:41] J9: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:41] J9: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:41] J9: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:41] J9: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:42] J9: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:42] J9: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:42] J9: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:42] J9: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:43] J9: Balón detectado: dist=9.00 ang=-4.0 → bx=8.98, by=-0.63
[21:10:43] J9: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:10:43] J9: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:10:43] J9: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:10:43] J9: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:10:44] J9: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:44] J9: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:10:44] J9: Balón detectado: dist=8.20 ang=1.0 → bx=8.20, by=0.14
[21:10:44] J9: Balón detectado: dist=7.40 ang=0.0 → bx=7.40, by=0.00
[21:10:44] J9: Balón detectado: dist=7.40 ang=1.0 → bx=7.40, by=0.13
[21:10:45] J9: Balón detectado: dist=7.40 ang=1.0 → bx=7.40, by=0.13
[21:10:45] J9: Balón detectado: dist=6.70 ang=2.0 → bx=6.70, by=0.23
[21:10:45] J9: Balón detectado: dist=6.00 ang=1.0 → bx=6.00, by=0.10
[21:10:45] J9: Balón detectado: dist=5.50 ang=1.0 → bx=5.50, by=0.10
[21:10:46] J9: Balón detectado: dist=5.00 ang=1.0 → bx=5.00, by=0.09
[21:10:46] J9: Balón detectado: dist=4.10 ang=1.0 → bx=4.10, by=0.07
[21:10:46] J9: Balón detectado: dist=3.70 ang=1.0 → bx=3.70, by=0.06
[21:10:46] J9: Balón detectado: dist=3.00 ang=1.0 → bx=3.00, by=0.05
[21:10:47] J9: Balón detectado: dist=2.20 ang=1.0 → bx=2.20, by=0.04
[21:10:47] J9: Balón detectado: dist=9.00 ang=-7.0 → bx=8.93, by=-1.10
[21:10:47] J9: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:47] J9: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:47] J9: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:48] J9: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:48] J9: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:48] J9: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:48] J9: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:48] J9: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:49] J9: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:49] J9: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
