[21:11:28] J7: Balón detectado: dist=60.30 ang=1.0 → bx=60.29, by=1.05
[21:11:29] J7: Balón detectado: dist=54.60 ang=1.0 → bx=54.59, by=0.95
[21:11:29] J7: Balón detectado: dist=54.60 ang=1.0 → bx=54.59, by=0.95
[21:11:29] J7: Balón detectado: dist=54.60 ang=1.0 → bx=54.59, by=0.95
[21:11:29] J7: Balón detectado: dist=54.60 ang=1.0 → bx=54.59, by=0.95
[21:11:30] J7: Balón detectado: dist=54.60 ang=1.0 → bx=54.59, by=0.95
[21:11:30] J7: Balón detectado: dist=54.60 ang=1.0 → bx=54.59, by=0.95
[21:11:30] J7: Balón detectado: dist=54.60 ang=1.0 → bx=54.59, by=0.95
[21:11:30] J7: Balón detectado: dist=49.40 ang=1.0 → bx=49.39, by=0.86
[21:11:30] J7: Balón detectado: dist=49.40 ang=1.0 → bx=49.39, by=0.86
[21:11:31] J7: Balón detectado: dist=49.40 ang=1.0 → bx=49.39, by=0.86
[21:11:31] J7: Balón detectado: dist=49.40 ang=1.0 → bx=49.39, by=0.86
[21:11:31] J7: Balón detectado: dist=49.40 ang=1.0 → bx=49.39, by=0.86
[21:11:31] J7: Balón detectado: dist=49.40 ang=1.0 → bx=49.39, by=0.86
[21:11:32] J7: Balón detectado: dist=49.40 ang=0.0 → bx=49.40, by=0.00
[21:11:32] J7: Balón detectado: dist=49.40 ang=-1.0 → bx=49.39, by=-0.86
[21:11:32] J7: Balón detectado: dist=49.40 ang=-3.0 → bx=49.33, by=-2.59
[21:11:32] J7: Balón detectado: dist=54.60 ang=-4.0 → bx=54.47, by=-3.81
[21:11:32] J7: Balón detectado: dist=54.60 ang=-2.0 → bx=54.57, by=-1.91
[21:11:33] J7: Balón detectado: dist=54.60 ang=-3.0 → bx=54.53, by=-2.86
[21:11:33] J7: Balón detectado: dist=54.60 ang=-3.0 → bx=54.53, by=-2.86
[21:11:33] J7: Balón detectado: dist=54.60 ang=-3.0 → bx=54.53, by=-2.86
[21:11:33] J7: Balón detectado: dist=54.60 ang=-3.0 → bx=54.53, by=-2.86
[21:11:33] J7: Balón detectado: dist=54.60 ang=-3.0 → bx=54.53, by=-2.86
[21:11:34] J7: Balón detectado: dist=54.60 ang=-3.0 → bx=54.53, by=-2.86
[21:11:34] J7: Balón detectado: dist=54.60 ang=-3.0 → bx=54.53, by=-2.86
[21:11:34] J7: Balón detectado: dist=54.60 ang=-3.0 → bx=54.53, by=-2.86
[21:11:34] J7: Balón detectado: dist=54.60 ang=-3.0 → bx=54.53, by=-2.86
